msgseqnum, rptseq, exchangeID, instrumentID, CurrentTime, exchangeupdateTime, lastPrice, volume, newvolume, settlementPrice, bidprice_1-bidvolume_1, bidprice_2-bidvolume_2, bidprice_3-bidvolume_3, bidprice_4-bidvolume_4, bidprice_5-bidvolume_5, bidprice_6-bidvolume_6, bidprice_7-bidvolume_7, bidprice_8-bidvolume_8, bidprice_9-bidvolume_9, bidprice_10-bidvolume_10, askprice_1-askvolume_1, askprice_2-askvolume_2, askprice_3-askvolume_3, askprice_4-askvolume_4, askprice_5-askvolume_5, askprice_6-askvolume_6, askprice_7-askvolume_7, askprice_8-askvolume_8, askprice_9-askvolume_9, askprice_10-askvolume_10, impliedbidprice-impliedbidvolume, impliedaskprice-impliedaskvolume
0, 0, INE, bc2103, 1610507374895000, 20210113-11:09:35.500000, 52410.0000, 6871, 1, 0.0000, 52400.0000-4, 52390.0000-24, 52380.0000-30, 52370.0000-1, 52350.0000-13, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 52420.0000-7, 52430.0000-40, 52440.0000-13, 52450.0000-8, 52500.0000-1, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0
0, 0, INE, bc2103, 1610507375184000, 20210113-11:09:36.000000, 52410.0000, 6871, 1, 0.0000, 52400.0000-5, 52390.0000-24, 52380.0000-30, 52370.0000-1, 52350.0000-13, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 52420.0000-7, 52430.0000-40, 52440.0000-13, 52450.0000-8, 52500.0000-1, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0
0, 0, INE, bc2103, 1610507379180000, 20210113-11:09:40.000000, 52410.0000, 6871, 1, 0.0000, 52400.0000-5, 52390.0000-26, 52380.0000-30, 52370.0000-1, 52350.0000-13, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 52420.0000-7, 52430.0000-40, 52440.0000-13, 52450.0000-8, 52500.0000-1, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0
0, 0, INE, bc2103, 1610507382687000, 20210113-11:09:43.500000, 52410.0000, 6871, 1, 0.0000, 52400.0000-5, 52390.0000-26, 52380.0000-33, 52370.0000-1, 52350.0000-13, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 52420.0000-7, 52430.0000-43, 52440.0000-13, 52450.0000-8, 52500.0000-1, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0
0, 0, INE, bc2103, 1610507383189000, 20210113-11:09:44.000000, 52410.0000, 6871, 1, 0.0000, 52400.0000-5, 52390.0000-26, 52380.0000-30, 52370.0000-1, 52350.0000-13, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 52420.0000-7, 52430.0000-40, 52440.0000-13, 52450.0000-8, 52500.0000-1, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0, 0.0000-0
